isin,exclude
CA66744H1047,1
CA66860Q1028,1
CA66979W8429,1
CA66989X1033,1
CA6699861010,1
CA6699882065,1
CA67010B1022,1
CA67010H1091,1
CA67010X1042,1
CA67053L1085,1
CA67054F1009,1
CA67054W1032,1
CA67059X2059,1
CA67088Q1063,1
CA6709024021,1
CA6739101054,1
CA6749151032,1
CA6807671004,1
CA6820431048,1
CA68218G1090,1
CA68237C1059,1
CA6834768088,1
CA68387G1046,1
CA68390C1086,1
CA68390F1018,1
CA6861543032,1
CA68621J4019,1
CA68622Y1007,1
CA68707R1038,1
CA6871961059,1
CA6886041079,1
CA69016D1087,1
CA69379U1012,1
CA69380V2057,1
CA69381H1064,1
CA6942131096,1
CA6976702069,1
CA69783Y3014,1
CA69867J1057,1
CA69902F1009,1
CA70260R1082,1
CA70323P2061,1
CA70470T2092,1
CA70558T2048,1
CA71385D1078,1
CA7142661031,1
CA71534M1077,1
CA7156971086,1
CA71678F1080,1
CA71716W2040,1
CA71743P1071,1
CA7233308583,1
CA72350R1055,1
CA7235371068,1
CA72403R1029,1
CA7269161096,1
CA72703G2027,1
CA72703V1004,1
CA7270532095,1
CA72766E1025,1
CA7279411069,1
CA72811X2041,1
CA7281231000,1
CA7294131049,1
CA73238C1041,1
CA73689L2075,1
CA73928T2011,1
CA73940N1096,1
CA73965Q1028,1
CA74022D4075,1
CA74040N1069,1
CA74061L1040,1
CA74141E1043,1
CA74167M1059,1
CA74167W1032,1
CA74260Q1028,1
CA74275P1071,1
CA74290V2049,1
CA74337Q2009,1
CA74349R1055,1
CA74358Q1054,1
CA74359T2074,1
CA74360U1021,1
CA74365J1021,1
CA74370G1019,1
CA7437541039,1
CA74447P1009,1
CA7446571076,1
CA74609E1097,1
CA7462441022,1
CA74733P3016,1
CA74734C1014,1
CA74739W2013,1
CA74766V1004,1
CA74767K1030,1
CA7479681057,1
CA7479762071,1
CA7480331072,1
CA7481197084,1
CA7481621042,1
CA74840A1066,1
CA7487472010,1
CA74915N1087,1
CA74976W7089,1
CA7500802029,1
CA7502321002,1
CA75101U4000,1
CA75103L1013,1
CA75189P1099,1
CA75629Y1088,1
CA7566782073,1
CA75671E1097,1
CA75679D2023,1
CA75686Y7028,1
CA75865D1078,1
CA75888V1004,1
CA75889D1096,1
CA75903K1057,1
CA75903N2086,1
CA75915M1077,1
CA7594041062,1
CA75941A1012,1
CA75971C2094,1
CA76029E1060,1
CA76125W5054,1
CA76128M1086,1
CA76134C1023,1
CA76134J2065,1
CA7615161030,1
CA76157B1067,1
CA76161L1085,1
CA76170Q1063,1
CA7651873076,1
CA76611L2030,1
CA76803P1036,1
CA7703631092,1
CA77119A1030,1
CA77119N1050,1
CA77340P1018,1
CA7736672097,1
CA77543A2083,1
CA77544C1041,1
CA77584B1076,1
CA7759041055,1
CA77683B1076,1
CA7792911033,1
CA77929Q4051,1
CA77935R2072,1
CA7807641062,1
CA78132X1042,1
CA7815861025,1
CA7820001039,1
CA7822271028,1
CA78437E1088,1
CA78471G1000,1
CA7857133069,1
CA78643W1086,1
CA78660A1049,1
CA7940071045,1
CA79588X1015,1
CA80302D1087,1
CA8031604074,1
CA8038671001,1
CA80387M2058,1
CA80401L3083,1
CA80600L1094,1
CA8091852001,1
CA80918M3021,1
CA81111V1076,1
CA81222L1058,1
CA8125391042,1
CA81607F1036,1
CA81752V2003,1
CA8193201024,1
CA81948A1021,1
CA82456M2076,1
CA82620L1013,1
CA82631L2075,1
CA8263XP1041,1
CA82670U3082,1
CA8269461056,1
CA82706E2033,1
CA8274591087,1
CA82767L1040,1
CA8277191059,1
CA8277331069,1
CA8280611010,1
CA82809P1053,1
CA8282292033,1
CA82825J1093,1
CA8283391016,1
CA82967M1005,1
CA8299085081,1
CA83011C6018,1
CA83013J1093,1
CA83085J3001,1
CA83086W1023,1
CA83268K2074,1
CA83390C1077,1
CA83410N1096,1
CA83411A1066,1
CA83423L1085,1
CA83569D6054,1
CA83569N2077,1
CA83571A1021,1
CA83671M1059,1
CA8428133059,1
CA84281U1075,1
CA84624Q1028,1
CA8463113065,1
CA84652L2075,1
CA8473811005,1
CA8485101031,1
CA84859H2072,1
CA84921X1078,1
CA8520662088,1
CA85235Q1000,1
CA85238C1086,1
CA85284P3007,1
CA85422Q8487,1
CA85511Y1088,1
CA8551571034,1
CA85525T2020,1
CA8552811017,1
CA85855B2012,1
CA86102Q1081,1
CA86218J2048,1
CA86308P1027,1
CA86330Y5011,1
CA8634433053,1
CA86419L1076,1
CA8651251081,1
CA86804H1091,1
CA86846F2026,1
CA8685951094,1
CA86880Y8779,1
CA86881M1041,1
CA86882X1096,1
CA8710031094,1
CA8716261075,1
CA87190J1057,1
CA87262G1046,1
CA87588D1087,1
CA87609L1058,1
CA87618P2044,1
CA87649R1047,1
CA87670N3031,1
CA8779052080,1
CA87877T6088,1
CA87975H1001,1
CA87975M2085,1
CA87975Q2099,1
CA88035N1033,1
CA88089G2027,1
CA88162R1091,1
CA8829291027,1
CA8834261080,1
CA88346B1031,1
CA8856201048,1
CA88581L3039,1
CA88605F1009,1
CA88651M1086,1
CA88688R1047,1
CA8875221001,1
CA8875892082,1
CA88900N1050,1
CA88908E1079,1
CA8897331010,1
CA89055A2039,1
CA89131L1085,1
CA89141H1055,1
CA89185T1066,1
CA89238H1091,1
CA89279P1018,1
CA89355R2037,1
CA89367L1031,1
CA8949431099,1
CA8959792018,1
CA89602G1090,1
CA89624B3020,1
CA89677X1024,1
CA89678B1094,1
CA89680B2049,1
CA8970021017,1
CA89712R2019,1
CA8974711084,1
CA89778V1040,1
CA8985301008,1
CA89904W1095,1
CA90043C1032,1
CA90109P2044,1
CA9013201012,1
CA90348V3011,1
CA90356F1071,1
CA90369P1009,1
CA90387A1012,1
CA90388C1068,1
CA9039421008,1
CA90476X5091,1
CA90782V1067,1
CA9129371097,1
CA91360F1099,1
CA91702V1013,1
CA91735H1038,1
CA91735T1075,1
CA91831M1059,1
CA91834N6054,1
CA9190672076,1
CA91916W1014,1
CA92025V1094,1
CA9214283066,1
CA9219456063,1
CA9219661076,1
CA92241L5053,1
CA92261D2014,1
CA92261K2056,1
CA92261V1022,1
CA92281P2008,1
CA92540L1076,1
CA9255401064,1
CA92556L4055,1
CA92834E3068,1
CA92836B2012,1
CA92837C1095,1
CA92838G1090,1
CA92852M1077,1
CA92858X2068,1
CA92863W2013,1
CA92864K3055,1
CA92866T1066,1
CA92872C1059,1
CA92873W1005,1
CA92874C1032,1
CA9289451044,1
CA92905U1066,1
CA9323971023,1
CA93401G1046,1
CA9411881043,1
CA94357L1058,1
CA9439172037,1
CA9468852095,1
CA94950R1038,1
CA9499321078,1
CA9546062089,1
CA95538Q1037,1
CA95556L1013,1
CA95716A1021,1
CA95942C1041,1
CA96031U1049,1
CA9603501060,1
CA96041W2076,1
CA9616821018,1
CA96812Y1016,1
CA97111B4047,1
CA9732421008,1
CA9777501086,1
CA9814482027,1
CA9838793052,1
CA98387F1036,1
CA98388T1021,1
CA98402E2069,1
CA98420B3092,1
CA98422W2022,1
CA9847472045,1
CA9858441095,1
CA98664A1084,1
CA98873A1057,1
CA9888161044,1
CA98936T2083,1
CA9894831028,1
CA98956B1031,1
CA98959V1067,1
CA98978R1029,1
CA98979D2014,1
CA98981L1004,1
CH0012453913,1
CH0019304531,1
CH0029850754,1
CH0042797206,1
CH0102659627,1
CH0210362643,1
CH0308403085,1
CH0358541057,1
CH0451424300,1
CH0557519201,1
CH1169360919,1
